Pelayanan Kesehatan Human Immunodeficiency Virus,,,,,,,,
,,,,,,,,
kode_kabupaten,kode_kecamatan,nama_kabupaten,nama_kecamatan,tahun,jenis_kelamin,keterangan,jumlah_pasien_hiv,satuan
3601,3601080,Pandeglang,Picung,2021,Laki-Laki,Jumlah yang mendapatkan pelayanan,48,orang
3601,3601141,Pandeglang,Pulosari,2021,Laki-Laki,Jumlah yang mendapatkan pelayanan,28,orang
3601,3601100,Pandeglang,Saketi,2021,Laki-Laki,Jumlah yang mendapatkan pelayanan,9,orang
3601,3601072,Pandeglang,Sindangresmi,2021,Laki-Laki,Jumlah yang mendapatkan pelayanan,41,orang
3601,3601061,Pandeglang,Sobang,2021,Laki-Laki,Jumlah yang mendapatkan pelayanan,18,orang
3601,3601112,Pandeglang,Sukaresmi,2021,Laki-Laki,Jumlah yang mendapatkan pelayanan,22,orang
3601,3601010,Pandeglang,Sumur,2021,Laki-Laki,Jumlah yang mendapatkan pelayanan,4,orang
3601,3601071,Pandeglang,Angsana,2021,Perempuan,Jumlah total,386,orang
3601,3601170,Pandeglang,Banjar,2021,Perempuan,Jumlah total,488,orang
3601,3601090,Pandeglang,Bojong,2021,Perempuan,Jumlah total,503,orang
3601,3601190,Pandeglang,Cadasari,2021,Perempuan,Jumlah total,518,orang
3601,3601121,Pandeglang,Carita,2021,Perempuan,Jumlah total,475,orang
3601,3601030,Pandeglang,Cibaliung,2021,Perempuan,Jumlah total,431,orang
3601,3601031,Pandeglang,Cibitung,2021,Perempuan,Jumlah total,293,orang
3601,3601050,Pandeglang,Cigeulis,2021,Perempuan,Jumlah total,474,orang
3601,3601131,Pandeglang,Cikedal,2021,Perempuan,Jumlah total,482,orang
3601,3601040,Pandeglang,Cikeusik,2021,Perempuan,Jumlah total,718,orang
3601,3601020,Pandeglang,Cimanggu,2021,Perempuan,Jumlah total,525,orang
3601,3601160,Pandeglang,Cimanuk,2021,Perempuan,Jumlah total,632,orang
3601,3601161,Pandeglang,Cipeucang,2021,Perempuan,Jumlah total,449,orang
3601,3601101,Pandeglang,Cisata,2021,Perempuan,Jumlah total,350,orang
3601,3601130,Pandeglang,Jiput,2021,Perempuan,Jumlah total,454,orang
3601,3601171,Pandeglang,Kaduhejo,2021,Perempuan,Jumlah total,583,orang
3601,3601191,Pandeglang,Karangtanjung,2021,Perempuan,Jumlah total,509,orang
3601,3601192,Pandeglang,Koroncong,2021,Perempuan,Jumlah total,303,orang
3601,3601120,Pandeglang,Labuan,2021,Perempuan,Jumlah total,809,orang
3601,3601181,Pandeglang,Majasari,2021,Perempuan,Jumlah total,725,orang
3601,3601150,Pandeglang,Mandalawangi,2021,Perempuan,Jumlah total,752,orang
3601,3601172,Pandeglang,Mekarjaya,2021,Perempuan,Jumlah total,319,orang
3601,3601140,Pandeglang,Menes,2021,Perempuan,Jumlah total,545,orang
3601,3601070,Pandeglang,Munjul,2021,Perempuan,Jumlah total,340,orang
3601,3601110,Pandeglang,Pagelaran,2021,Perempuan,Jumlah total,531,orang
3601,3601180,Pandeglang,Pandeglang,2021,Perempuan,Jumlah total,720,orang
3601,3601060,Pandeglang,Panimbang,2021,Perempuan,Jumlah total,730,orang
3601,3601111,Pandeglang,Patia,2021,Perempuan,Jumlah total,401,orang
3601,3601080,Pandeglang,Picung,2021,Perempuan,Jumlah total,544,orang
3601,3601141,Pandeglang,Pulosari,2021,Perempuan,Jumlah total,448,orang
3601,3601100,Pandeglang,Saketi,2021,Perempuan,Jumlah total,650,orang
3601,3601072,Pandeglang,Sindangresmi,2021,Perempuan,Jumlah total,328,orang
3601,3601061,Pandeglang,Sobang,2021,Perempuan,Jumlah total,542,orang
3601,3601112,Pandeglang,Sukaresmi,2021,Perempuan,Jumlah total,524,orang
3601,3601010,Pandeglang,Sumur,2021,Perempuan,Jumlah total,348,orang
3601,3601071,Pandeglang,Angsana,2021,Perempuan,Jumlah yang mendapatkan pelayanan,411,orang
3601,3601170,Pandeglang,Banjar,2021,Perempuan,Jumlah yang mendapatkan pelayanan,830,orang
3601,3601090,Pandeglang,Bojong,2021,Perempuan,Jumlah yang mendapatkan pelayanan,835,orang
3601,3601190,Pandeglang,Cadasari,2021,Perempuan,Jumlah yang mendapatkan pelayanan,413,orang
3601,3601121,Pandeglang,Carita,2021,Perempuan,Jumlah yang mendapatkan pelayanan,774,orang
3601,3601030,Pandeglang,Cibaliung,2021,Perempuan,Jumlah yang mendapatkan pelayanan,373,orang
3601,3601031,Pandeglang,Cibitung,2021,Perempuan,Jumlah yang mendapatkan pelayanan,397,orang
3601,3601050,Pandeglang,Cigeulis,2021,Perempuan,Jumlah yang mendapatkan pelayanan,696,orang
3601,3601131,Pandeglang,Cikedal,2021,Perempuan,Jumlah yang mendapatkan pelayanan,439,orang
3601,3601040,Pandeglang,Cikeusik,2021,Perempuan,Jumlah yang mendapatkan pelayanan,992,orang
3601,3601020,Pandeglang,Cimanggu,2021,Perempuan,Jumlah yang mendapatkan pelayanan,614,orang
3601,3601160,Pandeglang,Cimanuk,2021,Perempuan,Jumlah yang mendapatkan pelayanan,539,orang
3601,3601161,Pandeglang,Cipeucang,2021,Perempuan,Jumlah yang mendapatkan pelayanan,392,orang
